Sauron, Méchant méchant
Gandalf, (Olórin)
Saroumane, (Curunir)
Radagast, pas de descriptif
Ithryn Luin, (appelés aussi les Mages Bleu) : Alatar et Pallando
Les Aigles, (serviteurs de Manwe)
Les Balrogs, (esprits de Feu et serviteurs de Morgoth)
Melian, pas de descriptif
Ilmarë, pas de descriptif
Salmar, pas de descriptif
Eönwë, serviteur de Manwë
Arien, (le Soleil)
Tilion, (la Lune)
Gothmog, le chef des Balrogs de Morgoth
Ossë, serviteur d'Ulmo
Uinen, serviteur d'Ulmo
Ungoliant, pas de descriptif
